"productName","rating","author","date","title","body","verifiedBuyer","upvotes","downvotes"
"Lady Leche","4","K.W.","08/05/2024","This one is a must have!","I learned my body and when I needed it most! Which when I was about to have my period!",false,"0","0"
"Emergency Brownies","5","K.W.","08/05/2024","4 Eva a Milky Mama!","My BF journey ended months ago, but this relationship is 4eva!!! I’m purchasing for all my friends and family!!These brownies got me through my cycle when it returned early and kept me motivated to continue BF when I wanted to give up. They taste AMAZING! I honestly would have some when i didn’t really need it 🫣",false,"1","0"
"Salted Caramel Lactation Cookies","4","Alyse D.","08/04/2024","Delicious, but my least favorite","I love the cookies, but this flavor is a little too sweet for me so it's my least favorite out of the ones offered.",true,"0","0"
"Lactation Brownies","5","Sarah F.","08/04/2024","Delicious !!","Love these brownies. Delicious chocolate flavor. They boost my supply every time,",true,"0","0"
"Oatmeal Lactation Cookies","5","Shaina C.","08/04/2024","Taste yummy","Perfect breakfast treat!",true,"1","0"
"Emergency Brownies","5","Ana G.","08/04/2024","No Title","These brownies are not only good but they work! Will keep purchasing to increase my milk supply.",true,"0","1"
"Emergency Brownies","5","Marla B.","08/04/2024","Served it’s purpose","I looked into Milky Mama Emergency Brownies as a result of not being able to keep up production of breast milk with my son’s intake. I primarily pump for my breastmilk, super rare to actually breastfeed for me. Upon eating around 4 days of 1 brownie twice a day, morning & night, I noticed an increased volume of breast milk with pumping as will as a thicker or creamier consistency. Before eating brownies I would pump and produce as low as 1.5 - 2 oz of breast milk total from both ****. After eating the brownies for ~ 4 days I now pump and produce 4 - 6 oz of breast milk total from both ****. I recommend trying the emergency brownie as my results were great as advertised!",true,"0","0"
"Lactation Brownies","5","S.H.","08/04/2024","Better than I thought!","A friend from work recommended the cookies and brownies to me. She said that they helped increase her supply when she was struggling to produce. She has also said that they were surprisingly delicious and almost better than regular brownies. I finally tried them and received the same results! They are better then I thought and I’m on my second month eating them!",false,"0","0"
"Emergency Brownies","5","A.D.","08/04/2024","So good!","These brownies are the perfect little treat and they taste so good, very rich and fudge like (which is my favorite). I’ve noticed a slight increase in my supply but I’ve only had them for a few days! I like them enough to just place another order.",false,"0","0"
"Emergency Brownies","5","Nallely A.","08/03/2024","Delicious Brownies!","They work! I boosted my milk supply within a day . I love them ! Thank you !",true,"0","0"
"Welcome Bundle","5","Hilda A.","07/31/2024","No Title","Love my lactation drink, cookies takes delicious",true,"0","1"
"Dairy Duchess","5","Christina B.","07/31/2024","Amazing!!!!","Since I have started taking this product my milk supply has increased to the point I am able to start creating a small freezer stash. The taste reminds me of raisins or prunes, so if that is not your cup of teat it may take some getting used to but it is so worth it. Glad I brought this product.",true,"0","0"
"Oatmeal Chocolate Chip Lactation Cookies","5","Audra' T.","07/31/2024","Lactation At Its Best","I am so happy to have embarked on this wonderful company! Because of Milky Mama I’m not worried if my baby is getting enough breast milk! I know she’s getting enough, because I am producing more than I’ve ever produced this time around with my 5th child thanks to the help of milky mama Emergency Brownies and the Chocolate Chip Oatmeal Cookies!",true,"0","0"
"Peanut Butter Chocolate Chip Lactation Cookies","5","Melissa A.K.","07/30/2024","Delicious","These cookies have a perfect chocolate to peanut butter ratio and aren’t too sweet. They are a good daily snack/treat to keep you going and also have ingredients known to help stimulate lactation without altering the flavor.",true,"1","0"
"Oatmeal Chocolate Chip Lactation Cookies","5","francesca p.","07/30/2024","Delicious","Love the cookies",true,"0","0"
"Milk Goddess","5","Alisha S.","07/30/2024","Great product.","Thank you.",true,"0","0"
"Welcome Bundle","5","Mandy H.","07/30/2024","Can't wait to try these bad boys out","Ive seen so so many amazing reviews about these products!! I'm due in 2 weeks and have them in the freezer ready to go for my milk supply. I can't wait!!!!!!",true,"1","0"
"Bestseller Bundle","5","K.O.","07/30/2024","A sampler worth trying","I'm pleasantly surprised with this bundle. The brownies are great, which I'm not the biggest fan of brownies. I was not a fan of the oatmeal chocolate chip cookies, but thats just because I don't really like oatmeal cookies but they're not horrible. The lady Leche to me tastes like cough syrup but I still take it daily to try and increase my supply before going back to work. I'm glad I gave this bundle a try. The company was also very supportive with their words of encouragement and advice. Give these a try, they're good and the Lactation consultants are angels there to help during your breastfeeding/pumping journey!",false,"2","0"
"Emergency Brownies","5","K.O.","07/30/2024","Surprisingly tasty","I've only been using these brownies for a few days and I was quite surprised that they tasted as good as they did. I havent noticed an increase in supply yet, but I'm sure that will come with more than a few days of using them. I do manage to get 2-4oz of milk combined every 2-3 hours so that is a positive. If you're on the fence, go ahead and climb over and try these, they're not bad!",false,"0","0"
"Lactation Brownies","5","MARISELA V.","07/30/2024","No Title","Taste great",true,"0","0"
"Lactation Brownies","5","Dani","07/30/2024","Love these","I have been ordering these brownies since my son was about a month or two old. They have helped me stay consistent with my supply and even helped me beef up my freezer stash. I got these mostly to get an oversupply in anticipation for returning to work. When I had my daughter 10 years ago I had to stop breastfeeding at 7 months because going back to work killed my supply and the amount I was producing wasn’t even feeding her for half the day that last month. These have kept up my supply through month 6 so far and I haven’t had any dips in oz’s since returning to work. I really credit these brownies for that! I also order the cookies and herbal supplements regularly. I feel like I can breastfeed my son for as long as I want this time around with a freezer stash that will help supplement whenever he needs it!",true,"1","0"
"Oatmeal Chocolate Chip Lactation Cookies","5","Thalia g.","07/30/2024","Great for on the go","I love these, not only do they taste great but I feel like they have helped with increasing my supply overnight (went from 3oz combined on a good day to 5oz.) I make just enough to meet my baby’s needs. This helps me try and increase my supply slowly. I take it before bed and another after lunch to help with my afternoon supply. They make for a great snack on the go too!",true,"0","0"
"Peanut Butter Chocolate Chip Lactation Cookies","5","Iasia W.","07/30/2024","Amazing","I loved this but my favorite was the peanut butter, all products definitely helps my milk increase",true,"0","0"
"Peanut Butter Chocolate Chip Lactation Cookies","5","Adriana P.","07/29/2024","Best Cookies Ever!","As a fan of peanut butter cookies, I can confirm that these are the tastiest ones yet! Even if they didn't help me with my milk production I'd still eat them.",true,"0","0"
"Oatmeal Chocolate Chip Lactation Cookies","5","T.","07/29/2024","I ❤️","Taste is awesome! Super rich and satisfying! It’s almost a sin for something to taste so good, but be so helpful to a lactating momma! Oatmeal is so good! My milk looks so much healthier, thicker, and creamier from using these products",false,"0","0"
"Lactation Brownies","5","Shawnee M.","07/29/2024","Wonderful!","These are amazing! Not only do they taste great, I know whenever I eat one that I will be producing soon after. I use these plus the lemoonade and I went from pumping 3 oz per session to at least 5 oz per session. Will be getting again!",true,"0","0"
"Emergency Brownies","5","Angela I.","07/29/2024","Amazing product","I was struggling with my milk production and this has been a life saver in helping my supply. I highly recommend these",true,"0","0"
"Emergency Brownies","5","Bryttany","07/29/2024","Don’t walk RUNNNNN!!!","These are a lifesaver for the breastfeeding mamas!
I love the emergency brownies great for snack time and my 3rd baby boy 💙loves the milk results as much as I do!!🥰
I just ordered 2 boxes! The emergency brownies and the lactation brownies! They will be here Wednesday!",true,"0","0"
"Emergency Brownies","5","l.c.","07/29/2024","Absolutely grateful 🙏","I struggled to breastfeed my first born alot 😔 and totally sucks I didn't know about this company till 6 years later having my second. But boy am I super grateful to have came across these! I have tried just about every product you can think of to help boost my milk supply and nothing has worked as much as these brownies do, went from pumping 2 to 3 Oz to getting 6 to 8 Oz each pump 😀 😅 my little one has a nice milk stash in freeze and fresh milk whenever he wants! I just purchased a bundle pack suupppeerr excited to try out all of the goodies given in there. THANK YOU milky mama for helping us moms out here 🥰💕",false,"0","0"
"Lactation LeMOOnade - 7 Pack","5","Danielle P.","07/29/2024","Thirsty Mamma","Definitely not a bad taste! And can see improvements with my supply’",true,"0","0"
"Oatmeal Lactation Cookies","5","Omnyah D.","07/29/2024","No Title","Very good",true,"0","0"
"Lactation Brownies","5","E.A.G.","07/28/2024","Milk supply doubled!","I’ve been using these brownies for a week, in conjunction with keeping up with my hydration. It feels like my milk supply has doubled! I am nursing and pumping to build a stock for when I have to return to work full time - so pumping has been tough! Before I was averaging 2oz-4oz per day pumping now I’m well over 8oz! They are delicious and a great start to my morning.",false,"0","0"
"Emergency Brownies","5","Thalia g.","07/25/2024","Great taste","I recently got the emergency brownies and I feel like my supply has increased slightly after eating them. I use to pump 1.5oz now I can pull 3oz from one breast. Taste is great and I believe it does help out. This is my second child and so far I have been successful and so proud of myself with the help of these brownies and it hasn’t even been a full week just a few days",true,"1","4"
"Lactation Brownies","5","gloria t.","07/25/2024","No Title","They are really good",true,"0","0"
"Emergency Brownies","5","K.O.","07/25/2024","These products are amazing","My. Daughter was born almost a month early and it took some time for my milk to come in. I started eating these brownies along with lady leche & I was getting 2-3 oz when she was only a week old every time I pumped. I’ve seen a significant increase in my supply and I especially noticed it in the mornings. I’ll feed my daughter then pump an additional 4 oz on top of it. I’m not an over producer by any means but the extra oz I’m pumping had really helped me build up a solid frozen stash for when I go back to work!",true,"1","0"
"Emergency Brownies","5","Amanda K.","07/25/2024","Emergency brownies","Wow just wow after just one day I already saw a change, Great taste,I was struggling with my supply and only have supply on side for so long and only a couple drops came out the other side but after the brownie it started pumping out an once! I’m getting more and more everyday!",true,"1","0"
"Salted Caramel Lactation Cookies","5","K.O.","07/24/2024","Delicious!!","I love cookies and these are my favorite! I would eat 4 of them easily if they didn’t increase my lactation so quickly! Had one cookie yesterday with a drink supplement and I’ve already increased my milk by 5 ounces! It may not seem like a like, but it was enough for one pumping session! I’m excited to see how much more I’ll be able to produce!",false,"0","0"
"Lady Leche","5","T.","07/24/2024","Great flavor","I was expecting this to be so nasty tasting! I was pleasantly impressed and surprised! I can handle taking supplement straight under tongue or mixed in my water/drink. Grape flavored",false,"1","0"
"Pumpin' Punch - 7 Pack","5","T.","07/24/2024","Favorite 🤩","Just tried this flavor! So good! I hope it starts up my production! Already ordering a monthly subscription",false,"0","0"
"Lactation LeMOOnade - 7 Pack","4","Shawnee M.","07/24/2024","Great!","I ordered a few different things and use all of them from the cookies, brownies, and drinks. The lactation lemoonade seems to work well. It isn't the greatest tasting thing in the world but not horrible either. All in all it has helped me boost my supply and that is all that matters. I went from pumping 3 oz a session to 5 oz a session. I am grateful for this.",true,"2","0"
"Emergency Brownies","5","Danielle P.","07/24/2024","Danielle Jenkins","Great brownies",true,"0","2"
"Lactation Brownies","5","Iasia W.","07/24/2024","Amazing","I love these brownies, I can eat 5 a day. I have definitely seen my milk increase and become more creamy. So glad I found these products",true,"0","0"
"Emergency Brownies","5","Yesenia R.","07/24/2024","The best Brownies","whenever my supply starts tanking, i take one of these emergency brownies and a few hours later my supply is up again like clockwork. not only that, but they taste absolutely delicious!!!",true,"2","2"
"Salted Caramel Lactation Cookies","5","M.H.","07/23/2024","Yummy!","Im not sure if the products work as I just received it yesterday and I’ve had normal milk supply and only ebf but hopefully starting to pump soon. But these cookies and brownies taste so good. Im not so picky but I know when I don’t like something and I love everything! Including the oatmeal cookie and brownie :). I will be enjoying eating them regardless the outcome!",false,"0","0"
"Pumpin' Punch - 7 Pack","5","M.H.","07/23/2024","Just right","I received my samples yesterday and tried this one first. It tasted good. Not too sweet, more like flavored water but just right. I really enjoyed it. It was refreshing with ice! I don’t know if it works as I haven’t started my pumping journey yet only EBF but I enjoyed it!",false,"0","0"
"Emergency Brownies","5","Cynthia C.","07/23/2024","No Title","The brownies are good. Will highly recommended them.",true,"1","0"
"Lady Leche","5","Lettica M.","07/23/2024","Life saver","I love my Lady Leche, it came on time and is a life saver for me. I recently just got over covid so my milk supply had dropped 😒 I started taking the Lady Leche supplement drops and had a big jump in my milk production and output in just 3 days after I started it. Thank you milky mama your a life saver.",true,"4","3"
"Emergency Brownies","5","Noelle M.","07/23/2024","No Title","I have used these for two pregnancies/babies and they work great! They are so helpful in milk producing!",true,"1","0"
"Lactation Brownies","5","Mire","07/23/2024","Delicious","Brownies are delicious. I also love the oatmeal cookies. I pump 2-3 extra ounces when I eat them.",true,"1","0"
"Mini Milky Sampler Pack","5","Iris G.","07/22/2024","Review on sampler pack","This is my go to brand for increasing my milk supply! I found them on social media and have fallen in love. I definitely see the difference when i consume the products, especially the sampler pack you get a little of everything.",true,"1","0"
"Lady Leche","5","Shira J.","07/22/2024","Saved my supply!","I decided to try pump princess supplements from legendairy and that was the BIGGEST mistake! My entire supply was nearly gone in less than 3 days. I ordered last leche and emergency brownies and (in addition to power pumping) my supply was back and stronger withing 48 hours. I will be reordering this until baby is done breastfeeding. Thank you milky mama!",true,"3","0"
"Milky Melon - 7 Pack","5","Anonymous","07/22/2024","No Title","Watermelon flavor is good. Not sure if it is helping in my milky supply but the taste is good.",true,"1","0"
"Emergency Brownies","5","R.","07/22/2024","Miracle Brownies","On my second batch of brownies. They are so yummy and have helped me increase my supply a lot. I went from pumping on average 2-3oz to now 6-8oz a session which increased my daily output significantly! It has also helped me start and build up my freezer stash.",false,"5","0"
"Mini Milky Sampler Pack","4","V.L.","07/22/2024","Nice bundle to try things","The brownies are absolutely delicious. I was surprised how fudgy they are. The drink mixes are good too. The cookies however had like no chocolate chips and I thought they were a bit dry. I would order the drink mixes and the brownies again.",false,"0","0"
"Mini Milky Sampler Pack","5","Michelle R.","07/22/2024","Worth your money and delicious","I bought the sample pack just to try because I did not like other snacks I bought at other stores. Everything from this pack was delicious. You get your money’s worth. Also I saw some improvement in my milk production. I just placed an order for more brownies and cookies.",true,"0","0"
"Salted Caramel Lactation Cookies","5","Brittanee T.","07/22/2024","My favorite cookies!","These are my favorite cookies. I even like them better than the brownies! And using them I definitely noticed a difference in the fat in my milk.",true,"0","0"
"Bestseller Bundle","5","V.Y.","07/22/2024","A little bit of everything!","I absolutely love that you get a little bit of everything... I couldn't make up my mind on what I wanted to try. I would add something to my cart and then take it and add it back. So, once I realized this bundle had mostly everything I wanted to try there was absolutely no reason not to get it. So far what I have tried has tasted amazing. I cant wait to see what it does to my milk supply!!!! I will 100% recommend this company to every single breastfeeding mama I know and will meet!!!!",false,"0","0"
"Emergency Brownies","4","Lindsay B.","07/22/2024","They're pretty good","I have noticed a slight increase in my milk production since getting these about 5 days ago. If you're looking for a fudgey brownie that's super rich tasting, keep looking, you can taste that these aren't a decadent treat, but I enjoy the taste enough to eat one every evening. Not sure of I will order again or not. I guess it just depends on if my milk supply continues to increase or at least stay the same.",true,"2","2"
"Emergency Brownies","5","Nicole M.","07/22/2024","No Title","Amazing! I eat them with chocolate milk. I feel like they need to be dipped in milk.",true,"2","0"
"Peanut Butter Lactation Cookies","5","Anonymous","07/22/2024","No Title","Awesome taste, good snack has it all for more milk supply.",true,"0","0"
"Emergency Brownies","5","BOBBIE C.","07/21/2024","Peace of mind in a brownie","I’m working with a IBCLC and she recommended them. They taste great and I seen an increase in my pumping supply. This breastfeeding journey is no joke, 80% is confidence and these brownies do just that. It’s a sweet way to know I’m covering all my bases to fully nourish my little one and satisfy his little belly.",true,"1","0"
"Emergency Brownies","5","Thatyana e.","07/21/2024","Emergency brownie","so far I’ve noticed a little difference . I truly believe it’s because if the brownies. Will be ordering again.",true,"1","0"
"Emergency Brownies","5","Wendy C.","07/20/2024","Great taste, great results!","I was a little skeptical at first but these are great! They taste great and they work! I have had one brownie a day or every tow days and have had them for about two weeks now. I have noticed an increase in my supply - I finally have a freezer stash - and that my breast milk is creamier. My baby is happy and I am too. I also got the oatmeal cookies and I absolutely love them! So happy I took the plunge and purchased these.",true,"1","0"
"Dairy Duchess","5","Angel M.","07/20/2024","No Title","Absolutely love it",true,"0","0"
"Pumpin' Punch - 7 Pack","5","MARISELA V.","07/20/2024","No Title","Love the taste!!",true,"0","0"
"Peanut Butter Lactation Cookies","5","Customer","07/20/2024","No Title","I love this product great flavor",true,"0","0"
"Emergency Brownies","5","Chisa H.","07/20/2024","OKAY WOW!","I am only on day 4 of these brownies and have noticed a significant difference in my supply. I am a mom of twins and I exclusively breastfeed. I ordered these brownies in hopes of increasing my supply enough to store milk and It succeeded. Last night I pumped 13 oz total in one sitting! I gave both babies 4 oz each in a bottle be stored 5 oz. Amazing! I can’t wait to see how much more I can store and excited to try other products!",true,"1","0"
"Emergency Brownies","5","Aureia C.","07/20/2024","It works !!!","This is my first time trying their emergency brownies and they are delicious omg after I warmed them up for 20seconds they was soft and gooey . I almost couldn’t help myself with eating just one but one is enough they work faster than the regular brownie and not knocking the regular brownies because they are fabulous as well. Of I could 10/10 would highly recommend",true,"0","0"
"Lady Leche","5","Lara S.","07/19/2024","DONT WALK RUN!!!","This droplet saved my supply!!! Thank you milky mama! I really thought I lost all hope on keeping my breast milk going but once I ordered the emergency brownies and lady leche droplets. I was pumping back to 8-10 oz!!!",true,"1","0"
"Emergency Brownies","5","Rhiannon B.","07/19/2024","Great taste!","I was honestly expecting these to taste like ****, but they taste so good! I haven’t noticed a huge difference in my milk supply, but I know they’re worth it because of the nutrients they contain. They taste rich and fresh. 100% recommend!",true,"0","0"
"Emergency Brownies","5","Willeah C.","07/18/2024","LIFESAVER!!!!","This product totally saved my supply. I was literally down to ""dust"". Lol. I see my supply increasing and returning to my slacker. Thank you so much for this product! Definitely will be ordering again.",true,"3","0"
"Lactation Brownies","5","Kaitlyn G.","07/18/2024","No Title","These taste so good!",true,"0","0"
"Peanut Butter Lactation Cookies","5","Korallynn C.","07/18/2024","Delicious","These are great, they are really helping to keep my milk going now that I'm back at work. I don't get to pump as often as I'd like, but I'm still producing a good amount.",true,"0","0"
"Bestseller Bundle","4","grace e.","07/18/2024","Customer service was amazing.","So I have been a customer since 2020 having 4 babies between then and now. This was the first time I had an issue with my order and after speaking with customer service and showing them what was wrong they sent replacements. I couldn't be more grateful for the help given and not having to fight back and forth like most other companies do. I have always loved these products and they have been the only ones to truly work for me. I just wish MilkyMama had an office near me so I could apply for a job with them as well. I am always sharing with other Moms how amazing these products are online and in person and would love to actually work for such a great company all around. Customer service 11/10, products, 11/10, instagram videos to give more knowledge about breastfeeding 11/10. No other company does this much and helps mothers like me to be able to breastfeed our little ones.",true,"2","0"
"Emergency Brownies","5","Michelle M.","07/18/2024","Seems good so far!","Delicious and I’ve definitely seen a major increase in my milk supply!",true,"0","0"
