"rating","author","title","description"
"5","lance berg","Love this product","Ordered this for a sore bicep that turned into golfers elbow. After a few days of use my pump broke within the bottle. I emailed support and got a response almost immediately and they made it right. I’ve since been using for about a week and have seen a noticeable change on the pain scale. This isn’t a miracle cream, it won’t work overnight. But consistent application to your pain area it absolutely makes a difference . I’ve used multiple topical creams. This is the only one I’ll be using moving forward."
"5","Jason Silva","No Title","Relief & Recovery Cream"
"5","Daniel","No Title","Great product. I've given it to several family members and training partners. All good results. It helps out my mom tremendously, who had a recent stroke and is over 70 years old. This product is a normal part of my recovery routine for MMA."
"5","Patrick Shannon","Surprised by Results","Both shoulders would feel a bit sore/irritated after working out nothing major. I just wanted some relief in recovery and 24:17 did not disappoint. I’m actually surprised at how good it works. It’s now a part of my regular routine. Thanks for a great product."
"5","robert britton","Cancel subscription","I would like to cancel my subscription
And also need to return the product!"
"5","Michael Gilbert","This will be in my EDC for the rest of my life","Incredible product. Very effective. From the perfect dispensing bottle to a product that will make your old tired muscles better, you can’t go wrong. For the same price as a doctors visit you can avoid a few."
"5","Philip","No Title","It seems to be working. Over the last couple of weeks the pain has gone from a 7/8 to a 3/4. Pretty impressed."
"5","Duane Fay","Works great!!","Good stuff, helps with my aches and pains."
"5","Katryna Farran","No Title","Relief & Recovery Cream"
"5","Matt Regan","Great post recovery cream","Liked aroma very therapeutic helped release tension and soarness in muscle"
"5","Jason Gearhart","Life-Changing Relief for Back Pain!","I've been struggling with on and off low back pain pain for years, trying countless remedies with little success. That all changed when I discovered this incredible pain-relieving cream! From the first application, I felt a noticeable difference. The cream has a pleasant, non-greasy texture that absorbs quickly, and the relief it provides is almost instant.

What truly sets this product apart is its long-lasting effect. I can go about my day without constantly being reminded of my back pain. It's been a game-changer for my daily routine, allowing me to move more freely and comfortably. I've even started to enjoy activities that I had given up on due to the pain.

I highly recommend this pain-relieving cream to anyone dealing with pain. It's a fantastic, effective solution that has significantly improved my quality of life. Five stars all the way!"
"1","Kaitlyn Putney","Unsatisfied","Unfortunately the product was useless. A very expensive lotion. I was hesitant to buy it and decided to ignore the reviews of saying it didn’t do anything. I’ve used it for a week straight 2-3 times a day with no relief or feeling different/better.
The pros are it doesn’t smell bad or leave any residue or greasiness."
"5","David","Been a long time","Had a bike accident a year and a half ago, this has helped me recover more in a week than anything else."
"3","Ray Joyce","I was blown away","The first day I was amazed. It seemed to work as it was described. But after a few applications it does not work the same for me . Still better than anything else I have tried . The smell by far is better and it doesn’t give me that cool or hot sensation like others."
"5","Logan","No Title","this stuff work amazing."
"4","John Fragale","To soon to tell ( hence 4 stars)","I have a split tendon in my ankle so it might take some time to really see a difference. My wife has been using it as well and seems to be helping her with her knees."
"5","Wesley Ashabranner","Relief At It’s Finest","This is the single best product I have used to help me recover. I am an ex college football player and I have had two knee surgeries in my life. I have been prescribed and recommended a lot of different creams to help relieve the pain and bring comfort. This product is on a completely different level than all the rest of them. I have been giving it to my wife as well and she is in love with it. She works in retail and is on her feet all day long and after a long shift her feet and knees are swollen and in pain. She loves this product and has seen the immediate results from the moment she first put it on."
"5","Justin","No Title","Works great"
"5","Matthew Alldredge","Loving it so far!","My left knee and right shoulder have been aching for a few months. I applied the 27:17 cream, once a day, and within a few days my knee felt better. After that my shoulder still did not respond so I upped it to two applications a day, this has help my shoulder. I’m looking forward to a few more weeks to see where my aches are at."
"5","Gerald Aguiar","2717","Greatness. Especially for us aging jiu-jitsu practitioners."
"5","Mike M.","27:17 Recovery cream","Received my 27:17 a couple of weeks ago. I have been dealing with some tendinitis in both elbows, along with some pain in my knees for awhile. Both have been inhibiting my workouts too much lately. Applied the 27:17 to those areas and IT REALLY WORKED WELL. I LOVE it! It feels as if it is truly helping recovery and not just temporary pain relief. Smells great and doesn't leave you feeling greasy. For sure will continue using. Definitely recommend giving it a shot."
"5","KHo","Best recovery cream for athletes!","I’ve tried every CBD and cream possible. This stuff really works for multi day events & long days on the trail!"
"5","Billy Gathright","No Title","Great stuff help knees and sore muscles in my neck"
"1","William Anger","Ingredients","Water (Aqua), Cocos Nucifera (Coconut) Oil, Glycerin, Cetearyl Alcohol,Hydroxyethylcellulose, Polysorabte 60, Copper Tripeptide-1, ArnicaMontana (Arnica) Flower, Beta Caryophyllene, Limonene, Terpinoline,Delta-3 Carene, Terpineol, Geraniol, Alpha Bisabolol, Alcohol, MenthaSpicata (Spearmint) Essential Oil, Mentha Piperita (Peppermint) EssentialOil, Eucalyptus Globulus (Eucalyptus) Essential Oil, Rosmarinus Officinalis(Rosemary) Essential Oil, Junipers Communis (Juniper) Fruit Essential Oil,Pinus Sylvestris (Pine Scotch) Essential Oil, Zingiber Officinale (Ginger)Extract, Cupressus Sempervierens (Cypress) Essential Oil, OcimumBasilicum (Sweet Basil) Essential Oil, Melaleuca Leucadendron Cajaputi(Cajeput) Essential Oil, Citrus Paradisi (Pink Grapefruit) Essential Oil,Cymbopogon Winterianus (Citronella) Essential Oil, CinnamomumZeylanicum (Cinnamon) Leaf Essential Oil, Foeniculum Vulgare (Fennel)Essential Oil, Citrus Medica Limonum (Lemon) Essential Oil, LavandulaAngustifolia (Lavender) Essential Oil, Cymbopogon Flexuosus(Lemongrass) Essential Oil, Chamaemelum Nobile (Chamomile) EssentialOil, Origanum Vulgare (Oregano) Essential Oil, Helichrysum Italicum(Helichrysum) Essential Oil, Piper Nigrum (Black Pepper) Essential Oil,Chamomilla Recutita (Chamomile) Essential Oil, Tetrasodium GlutamateDiacetate, Caprylyl Glycol, Sorbic Acid, Phenoxyethanol

Are you kidding me? Where is the trash can"
"5","Cameron","No Title","It’s really great. Not only does it work, but it smells incredible."
"5","Raul Rios","Feels great!","I love this product. It goes on the skin real smooth and smell is also nice. You can feel pain relief within a couple of days."
"5","Michael B.","Seems to work","So far so good. I’ve used it several times on minor injuries and it’s worked well."
"4","Jaime","Good Stuff","It’s early so I will not make a definitive conclusion on the effectiveness of the product, but I’m hopeful the formula you have can help with aches & pain management. I would highly recommend a roll on or stick type of application as squirting into hands tends to lose a small amount of product through absorption into palms with every application."
"5","GEOFFREY MOSEBACH","No Title","Relief & Recovery Cream"
"1","Chip Shearin","This works when?????","Use this religiously for 3 weeks on a sprained wrist. So far it’s had no affect!!!
Is this just BS??"
"5","Roderick","No Title","ABSOLUTELY 💯 AMAZING"
"5","Ryan S","Almost instant Improvement","Within 30 min. of putting this stuff on the muscles around my knee the ache disipated fast. Will definatly keep some on hand at all times."
"2","Rajdeep Darbar","It reduced my forearm pain","After using it definitely reduced my forearm pain and I was using ice packs as well..it really did helped."
"5","Matthew Parra","Hella good product","Thanks for a great product. I've had knee issues after falling threw a skylight. after four aplicacatons of the product my knee issues subsided. I have recommended this product to everyone I know."
"5","Alexander Taylor-Cardenas","Smells good","Feels great, don't have enough"
"4","Dave","4.5 Stars!","It’s a great product! I will look forward to using the product more often throughout my future. I do personally want more studies on the copper peptides. As of right I would say this is a good alternative to add to your routine from other brands

I only gave it a 4.5 bc people need to realize this isn’t going to fully cure you..you need add other things into your recovery. Red light therapy, cold exposure, acupuncture, etc"
"3","Maclane","No Title","Not sure how much it works but feels good as a lotion."
"5","Manuk Lelikian","No Title","Amazing!!! Out of this world."
"5","Benjamin","No Title","I was a little skeptical about this product. What was it really going to do? Is it really going to help or is it a glorified bengay?

Ok let me be clear, this stuff is a miracle cream. I had nagging injuries I’ve spend months trying to get rid of. I used this and felt better in two weeks. This has solved every injury issue. I cannot stress this enough this stuff actually really works. It’s amazing!!! Buy this now!"
"5","Joseph","No Title","Amazing"
"5","Case Leloux","Better than expected","I put this in my knee that had a torn meniscus and it really helped. I was skeptical at first. I’m a big believer now."
"4","Robert Smid","No Title","It’s been good it’s only been a week but I feel a little bit better"
"5","C.D.","No Title","Felt great using this product. Works as advertised!"
"5","Jeremiah LaFountain","Relief","I recently had back surgery and have had sore muscles in my low back ever since. I had been trying traditional creams: icy hot, bio freeze with some relief. I was told about 27:17 from one of my wrestlers that’s now in college and she said this stuff was amazing. I trust her so I made the purchase. I have to say, this product has help relieve my muscle soreness better than either of the traditional products. I am a firm believer in this product now and it will become a staple in our wrestling room."
"1","Josh Zeller","Starter Kit","It smells good thats about it. I didn't receive any relief."
"5","Jeremy D.","Relief!","I have notice immediate relief from various injuries, some plaguing me for years. I can’t give a long term review at this time but so far I’m happy with the results. Thanks 27:17!"
"5","Marian","27:17 Is Great!","First I’d like to say I love the smell. If something doesn’t smell great it’s a complete turn off for me. I’ve only used it for a few days but I do think I’m getting relief. I had a total knee replacement in March and need a second one in July. This is helping with the inflammation on both. Thank you!"
"5","Customer","It works","This stuff is the best!!"
"5","Performance Thought","Great product","This really works to give relief from aches and pains."
"4","Charles Myers","Not sure if it is working yet.","I have only used it for 5 days. I have not seen a difference in the aches and pains I have in a few different joints. I have been using it in the mornings and bed time each day. I am hoping to see some changes in the next couple of days. My current pain is in my right ankle, my middle finger knuckle joints on both hands and my right knee."
"5","Grant Alexander","Surprised","I’m always skeptical of stuff like this but I put some on my knees before doing the stair stepper. It wasn’t until I was finished that I realized my knees weren’t aching. Really good stuff. Smells great too"
"5","Shawn","No Title","Awesome product…. Smells great and eases muscle soreness!"
"5","Ryan Applewhite","No Title","I love it. Healed up a pulled muscle within a week. Got me back out putting in long miles again."
"1","Aj","How is it you ask?","That’s a great question. I don’t know it hasn’t arrived yet. I had the subscription, but cancelled it because of the shipping time. If the product works I may order again, but very unlikely."
"2","Kevin Ma","Not sure if its doing anything for my biceps tendonitis","Not sure if its doing anything for my biceps tendonitis"
"5","paul j daniels","Works","My wife n I both like it."
"3","Savas","No Title","I’m not sure if it actually works"
"5","David Evers","No Title","Relief & Recovery Cream"
"5","jeremy grijalva","It’s great","It’s great but can I stop paying for it"
"5","Jonathan coradin","amazing stuff!!!","man this almost seems like magic!! highly recommend to anyone with any muscle pain. just mind blowing."
"4","Jeff Piri","Good stuff","Works better than tiger balm or biofreeze. Works best on my knees,legs, arms. Unlike other stuff there is no 'cooling' effect, the pain is actually numbed and stays that way for a long time. Definitely give it a try!"
"2","Edward Brisson","So far, so good","Just started using it. Need a while to know if it really makes a difference"
"5","Michael Mooney","Love it","Love it will be purchasing more"
"3","Anonymous","2 pump chump","Yo! You packing is super sweet and makes you feel good about the purchase. I would say it is not totally necessary if you wanted to save some dough and pass that on to the customer. My only feedback is the pump to dispense product does not work well. Totally inconsistent. Maybe a stronger return spring? Otherwise this stuff just plain works. We are rooting for you in the UFC. 👊🏻"
"5","Dan Boelens","No Title","Relief & Recovery Cream"
"1","Ben Chapman","27:17","This stuff really does work. I had relief the very first time I used it."
"5","Gideon Stoker","No Title","Hi I ordered my relief cream a couple weeks ago and it has not been delivered I would like to know I'd you guys could help with that"
"5","Jason Jakway","This product works","I wanted to get off of the steroid my hand doctor was prescribing and stumbled across this product while doing some research for alternatives. After a few applications, my pain is gone and I no longer get the numbing in my fingers. This stuff works!"
"5","Bob","Works Suprisingly Well","Been using for a few days now on some recurrent sore points - can feel it getting to work pretty quickly. Conveniently sized with barely noticeable pleasant odor. Found it more effective than traditional heat type products."
"5","Justin","No Title","Really helps my joints"
"5","Mitch Cohen","Knee Pain Relief","Started using over a week... knees have been feeling so good."
"5","Nicholas Cashdollar","Great","I put this on every morning. I wrestled in high school and now doing jiu jitsu and my shoulders were getting really sore and I was in pain. Using this they have turned around from where they were before and really feel better."
"5","Robert J Greenaway","The Best I've ever used","I originally purchase 27:17 for hip and knee pain due to arthritis. It worked almost instantly after the first application. I typically have swelling around my knee and stiffness in my hip after leg day or cardio. The swelling went down instantly and I've experienced significant flexibility in my hip as well. This was surprising enough but two days after the purchase my wife fell at work and sprained her wrist and fractured her elbow. 27:17 greatly reduced the pain and swelling in her wrist and hand and has lessened the pain and increased mobility in her elbow. We already ordered more. 💪"
"5","Brad Krebs","27:7","seems to relieve a little of the pain.. Just been a week"
"5","Stan","Great product","My primary care physician uses 27:17 and because of his success with your product, highly recommended it to me. He administered Prolo injections in my shoulder and recommended I order your product. I've been using 27:17 for four weeks and my shoulder issue is improving. Just like my doctor, I highly recommend 27:17."
"5","Angela Alford","Two reviews in one","I bought a bottle for myself and a friend. We were both very impressed with how well it worked. My friend was also very impressed with the packaging it came in. I love that it’s made in America and was pleasantly surprised to get some Christian encouragement in my email. Thank you!"
"5","Jocelyn Eaves","Not received","Resenc"
"5","Brian","No Title","Absolutely worth it"
"3","Ryan","No Title","Smells good didn’t notice a huge difference is muscle soreness. Tried it for a month."
"5","Nicholas","No Title","Absolutely love it!"
"5","Sheridan","No Title","Amazing pain relief. Doesn’t go on greasy and cleans up easily. Feel relief in about 20-30 minutes and each application seems to improve as I continue to use it more."
"5","Daniel","No Title","Works great!"
"2","Rich","No Title","Doesn’t work for me"
"5","Brandon Ballinger","No Title","It's great, I train BJJ and I use it everyday for my recovery. Thank you!!"
"3","Joseph Adams","Average","Nothing special about this product and way overpriced."
"3","Chance","It was okay","I think that overall, it was moderately helpful. However, I do not feel like it was worth the $50 for it. I would also add that It didn’t even last me a full month and there were about 5 days I didn’t even use it due to forgetting. So the amount, for the cost, a considering the effectiveness, I probably wouldn’t purchase it again. That’s just my experience. It might work well for others though."
"3","Greg Davis","It’s just ok","Delivery was super fast. The product doesn’t seem to do much, I’ve been using it daily since I got it and can’t say I notice any benefit. It’s smells ok, a bit “mediciney “ but not over powering. Goes on easy."
"5","Gary West","Great Stuff","Love it!!!"
"5","Thomas Wright","?","Only been a week so not sure he will throw today and we will have a better idea . Fingers crossed"
"1","Scot Ruddock","Pump sucks","Received product. The lotion works great however the pump is broke. I can barely get anything out of the bottle. For the amount this product costs, it’s a severe disappointment. 27:17 make it right. Send me a bottle that works"
"1","Neil","No Title","Didn’t do anything"
"5","Kyle Heake","Review","By the next day, I could feel the difference in the areas that I applied it, I love the product and will continue to use this stuff."
"5","David Quinn","So far so good","I have a bad shoulder and about 5 or six weeks ago I went to our doctor to get a shot in it about a week later my wife had an appointment and our doctor told her to have me get your product he was using it himself but between the shot and your cream my shoulder feels great"
"5","R.L.","No Title","Works as advertised. Has been a game changer in recovery and with my workouts. Will be purchasing again"
"5","Robin Gilbert","Early days","I’m just getting started with your product. But so far it seems I’ve getting good relief from my muscle pain. I am very happy with the results."
"5","James Regina","No Title","It fires what it says it does"
"5","Foster Decorah","Shoulder pain","Working well on shoulder pain. My son uses it also has wrestling elbow. The 1st 1 I received the pump dispensar was weird."
"3","Aaron Philmon","Not sure yet","Have a prev torn rotator cuff and tennis elbow. I’m testing it out though."
"5","Lynette Samaniego","So far so good","I got this for my husband he injured his elbow he finds it good as healing wise he feels since he is been using it has help a lot with his recovery that’s why we ended up getting more. He gifted his brother one bottle for his knee pain and he said it help him a lot with the pain so hopefully will help with the recovery as well."
"5","M.M.","Helped immediately","Got some inflammation relief on the second time I used it and it continues to provide the much needed relief for me to rehab by injuries!"
"2","Neil Dankowski","too early to tell","been using twice a day for about a week (both elbows/forearms, shoulder)... so far little to no improvement"
"5","Myer Hursey","Acrobat Recovery","I’m a professional acrobat with Achilles tendonitis and this stuff is amazing. I feel myself recovering better so I can keep doing my job and training what I love. Gonna be a regular order for me. 10/10 recommend"
"5","Steve H","gift from the gods","It works amazing I had shoulder pain and elbow pain after Bjj. I rubbed this on and no BS the pain went away in mins. I’m pretty sure half the gym is using it now"
"5","Brady Webster","46 and not so quick","I was a bit skeptical and even after my hamstring (after hearing 2 pops) was good to go in 2 weeks I didn’t fully attribute the quick recovery to 27:17…I’ve since referred it twice and received testimonials on it being “the real deal.” I’m using it on my elbows, knees, shoulders, and fingers and it’s helping extend my time on the mats in the gi."
"5","Customer","Good Product","As of right now only been using 27:17 for a couple of weeks and it is working so far but I’ll give A little longer to see the lasting effects."
"3","Derek","No Title","Not sure if it works or not. I have been doing so many treatments for my injury that I’m just not sure. Smells good and might give it another try. It does last a while and you don’t need to use a lot."
"5","CHAD WELLS","27:17","It seems to be working in the helps of recovering. I suffer from knee pain, back pain and shoulder pain. I have had 2 shoulder surgeries. Always looking for things to help. I would recommend this product."
"3","Armando","No Title","Works somewhat won’t buy again"
"5","Ryan","No Title","You have to use this product consecutively for it to work, but when it does, it’s a beautiful thing."
"5","Pete Nelson","Liquid gold!","I’ve been over training these past two months. Which has elevated my inflammation. Not only does it work but also smells great. Thank you 27:17"
"5","Customer","It’s fabulous!","It’s fabulous, it really works!"
"5","Otto Bottin","Outstanding","Using this product has become part of my post BJJ routine. I have genuinely noticed improved recovery."
"5","Brian W","This stuff WORKS","I have bad knees and a bad back I have tried everything to try to get some relief from the pain nothing works my son told me about 27:17 and I gave it a try I just received my second bottle. This stuff is fantastic and it works fast with no unpleasant odor. I will continue to use this product"
"5","Kevin Piccioni","So far so good","Only a few days in and i must say this is amazing stuff."
"1","Layne Jenson","Love it","I love this product. Coming off acl surgery I was looking for anything that would help. I researched the ingredients in 27:17 myself and it’s LEGIT! It’s helped a ton. I’m on my second bottle."
"4","William Agar","No Title","Just began using it, seems to be working!"
"1","Jared Flippence","feel zero benefit","i have been using it and i don’t seem to have no benefit of feel anything working for me"
"5","Blake Barlow","Best product I’ve ever used","I sustained a neck injury while training in Jitsu. I went to a nurse and insured my injury was only muscular then went to look for natural medicine alternatives. After taking ibuprofen for 4 days straight and couldn’t get any relief and still couldn’t turn my neck. A friend of mine had been talking about 27:17 for a few weeks and after 3-4 days of suffering I figured it was worth the risk.
After applying twice (one time when I got it and then again before bed) I woke up feeling 70% better. I’ve been applying it every day since and my neck is 98% better. I highly highly recommend this product. I’m considering buying another one just to stick in the medicine cabinet. Right now this one goes everywhere with me."
"5","Reid","No Title","Love it"
"1","Ted Pettle","Undecided","I’ve been using it every day and I haven’t noticed any change/benefit"
"5","Martin Prodanov","No Title","Relief & Recovery Cream"
"5","Zane Sisneros","Awesome product","I love this product. I have been suffering from pain for a while now, and using 27:17 has helped with the pain and recovery. It has been a great tool to combine with my physical therapy. I have also helped with my knee pain from wrestling and BJJ. i use it every day and love it."
"5","michael","No Title","Love it"
"5","Vernon","No Title","Amazing omg"
"5","Marco Rosa","Amazing product","I was so afraid to run out of my first can, that I just ordered 4 of them so that I don’t have to worry about it :).
The product is amazing, and I use it every time I train BJJ"
"1","Marisa","No Title","This is a no for me! It basically lotion with essential oils. There are better products out there! Very over priced for what you get."
"3","Miguel Esquivel","Not certain yet.","Not sure yet if it actually works yet. Perhaps its for athletic people. I'm not in any good physical shape but I would consider myself an industrial athlete. I'm constantly climbing on commercial rooftops with a heavy toolbag and often haul equipment as well. I crawl through residential attics.
Part of my job requires lifting, kneeling, crouching and holding still on knelt positions for extended periods of time. I'm and HVAC tradesman. I had this last amount of hope that this product would be the miracle for my lower back ache. I've gone to chiropractors and specialists with no solutions. I figured that I have nothing to lose with thos cream. I'll keep trying it to see if there is any improvement. If it don't, surgery is next which I have tried to avoid for years. Wish me luck"
"5","Spencer Moore","Faulty pump","Unfortunately the pump broke once it arrived. I was able to squeeze a little out and what I could use I did feel a difference over. Ight. I ordered another bottle to give it a shot. Confident I will be pleased with the results"
"5","Shawn","No Title","Great product. Helps healing"
"5","James","No Title","Works like it says."
"5","Amanda","No Title","Works so good!!!!"
"5","RZ","No Title","Relief & Recovery Cream"
"5","Jack","No Title","Magic."
"4","Gene Robinette","2717","First off the packaging is great very high end I'd say, but i feel like I'm paying for it..I would be just as happy if it came in a brown paper bag if it was less expensive. The pump on the bottle didn't work like it should I'd have to pull it up to pump out each time besides that it seems like good stuff still using it and ordered two more with the 30 bucks off code and gave one to my son to try out and I'll use the other one.."
"5","Jim","No Title","The absolute best I have ever used."
"5","Jahmes","No Title","I love it"
"5","James","As Iron sharpens Iron","I have a titanium plate and cadaver bone in my right arm to replace my ulna from a bone cancer. My arm will hurt a bit after rolling and I would have to take a break before getting back out. I used 27:17 and it helped relieve the pain and reduce it overall. I’ve used it on my knees and anywhere else that gets sore or bruised. Pretty work folks"
"5","Jeremiah","No Title","It actually works. This stuff is not a joke."
"5","AB","Love it","I love this topical cream for my shoulder pain. I get bicep tendinitis often and this helps soothe the pain I have after doing pottery or working out. My son, who is 12, has also used the cream on his elbow after baseball, works wonderful! I highly recommend this product to anyone who has minor strains or tendinitis!"
"5","Noel Rivera","Great product","Grade A stuff right here!"
"5","Alex","World of difference","I am in a Police academy and after 40hr block of defensive tactics I was hurting. Tried icy hot with lidocaine and was taking that IBU like crazy this stuff worked! Made a world of difference I was so surprised."
"4","Doug Hidalgo","No Title","Relief & Recovery Cream"
"5","Peter Panagedes","Great experience","I received the product and 1st bottle would not pump no matter how many times I tried. I sent an email for help and very quickly I saw sent another bottle without any thing else for me to have to do or explain. I appreciate that you made it very simple and did the right thing for me as a customer. I’ve used the product multiple times now and it works great, the smell and feel are also great. I would definitely recommend this product and will continue to use. Thank you once again for a great customer experience and product."
"5","Ernesto Cuellarsola","Worth it","Once I put it on, I feel much better in 30 minutes."
"5","Bert Rivero","Great product","If you are on the fence about this product, don't be. This product works and it has been a game changer for me. I have been out of the gym for over year due to injury, recovery from surgery and in that time developed a lot of joint pains from not moving. I have suffered with psoriatic arthritis as well for years and also applied this to some painful joints. I am in no way saying this is marketed for that but I tried it and woke up feeling great. The recovery the following say has been truthfully a game changer for me. On top of that customer service is great and the prduct smells good. I go to work now and do not smell like tiger balm 90% of the time. Great product!!"
"4","Tyler Stoltzfus","27:17 review NC","I think it’s a good product haven’t been using it but a few days but applying it twice day, has too a good amount of inflammation out of my knees and back so we will see how it continues to do"
"5","Vernon","No Title","Amazing I’m so thankful for this product God and this product is the key from staying away from surgeries"
"3","Erin Govoni","27:17","Hello
The pump doesn't work very well so it's difficult to get the product out. It seems to help my pain a little, but I haven't noticed a big difference 😕"
"5","BIG T BIG T","It works","Legit"
"5","Joshua","First time user","I have been using 27:17 for 5 days now. I have had knee issues since I was a teenager when I fell off a roof. It has always been manageable pain, but uncomfortable none the less. Ever since using 27:17, once a day, I haven’t had any knee pain or mobility issues. What I thought was going to be my way of life with my knee pain is suddenly gone and I have this new freedom of mobility that’s came with it. I do a lot of hard workouts (rucking, sand bag workouts, kettlebells, and body weight workouts with weight vests) and even in doing those, still no knee pain. I was shocked. I was 50/50 when I bought it on if it would work or not, but I figured what could it hurt. And I’m so glad I ended up getting it. Thanks 27:17!"
"5","Andrew Paquette","Satisfied Happy Customer!","I liked the texture and the smell! I also loved the way it is deep penetrating and quick working to relieve soreness.

Under two weeks and my mobility and strength is coming back."
"1","Josef Peot Default Last Name","It hasn't done anything to help","I can't say it's good or bad as it does not help me or my wife. We felt nothing once applied.

I am sorry
JP"
"5","Christine Berthelsen","It Works!","My husband has been suffering from tennis (pickleball) elbow for nearly a year. He started using 27:17 and noticed improvement within the first couple of days. I use it on my wrist (achy after 35 years as a hairdresser...I’m 74) and it is helping me as well. I told my sons about it (former athletes) and one of them had already ordered it before I told him about it. He likes it as well! Our massage therapist told us about it so kudos to her and kudos to you all for a great product Thank You!"
"1","Justin Ratliff","???","Never received it"
"1","Matthew","No Title","This product did not work for me."
"2","Todd Brunner","pump on container","The pump on my contain doesn't work correctly. I can barley get the lotion out of it. it is super frustrating to use. I don't even know if it works because it I can barley get it out."
"5","Jorge","No Title","This product is legit! Had a cramp developing the other night, applied it and within seconds the cramp went away. Highly recommend."
"5","Paul","No Title","Bought for my mom with arthritis and it works like a charm."
"5","Brian Nestor","Meniscus surgery","I started using few days before surgery didn’t notice much but after I’ve been up walking and standing all day at wrestling tournaments and practices. It calms the burn and has helped tremendously with the swelling. I can now feel the difference a few minutes after using it. I’ve even used it on my hip that started hurting from my limp from my injury. Good stuff and I’m going to definitely keep using and order more."
"5","Kevin Jansen","Amazing Product","The product is life changing! Took away all of my shoulder pain and now I am back to lifting heavy weights! Only thing is I got the same coupon code sent to me 2x so I couldnt use the 2nd one! Besides that I am very happy!"
"5","CHAD BOWANS","Shoulders","Outstanding product relieves pain in minutes and not average pain competition jiu jitsu pain! It’s in my recovery routine daily
M"
"5","Glenn Hawkey","Shoulder Pain","I’ve had reoccurring shoulder pain for several years. I’ve been using 27:17 Recovery for 5 days and my shoulder feels much better. I’ve been putting on age. I get up in the morning and post workout. Great product as far as I’m concerned."
"4","Anonymous","It has definitely helped","I'm an old cowboy who has a been dinged up over the years. And still living an active lifestyle by reffing sports at the varsity level of high school to little kids sports. It's definitely early in the trial but I have definitely noticed improvements in managing my discomfort."
"5","Sherry Larck","Lifesaver","I was unable to put any weight on one of my legs so I could not walk. After using this cream I was able to put weight on my leg and walk until the doctors figure out what’s up."
"5","Mark Fitzgerald","Bad knees","Struggle with knee pain on a daily basis. 27:17 has been a godsend reducing inflammation and helping with recovery"
"5","Chris Zeller","Torn pec..No Factor","I tore my pec three weeks ago, I have been applying 27:17 for the last week and so far it seems to be helping. I am planning to use it throughout my rehab. I am grateful for the opportunity to use this product on my journey!"
"5","Chris Luker","Bran New me !!","Absolutely works and works FAST !!!"
"5","Dennis Mitchell","It's Great","Great product works"
"5","Austin","No Title","Miracle in a can."
"5","J.L.","No Title","I recently had surgery on my knee. I have been using 27:17 throughout my recovery and it has made a very noticeable difference. With physical therapy 5 days a week I’m constantly testing and pushing my body and fighting to get better and rebuild muscle and strengthen these new ligaments that I’ve had to have reconstructed. 27:17 has allowed me to keep pushing through healthy levels of pain, approach each day with a strong mentality and keep an unwavering amount of confidence in myself and my bodies capabilities. This is a product that allows your body to thrive when paired with a mentality to strive for better each day. I would recommend this for athletes, PT patience’s, and to even someone who has a labor intensive job. Everybody could benefit from this product"
